n_estimators,max_depth,rmse
220,4,9.26443490015
280,2,10.4624244348
100,2,10.3211870722
120,4,9.12184250555
80,3,9.75391702765
120,4,9.12184250555
140,2,10.3559008251
120,4,9.12184250555
100,4,9.07513565173
200,3,9.71738632822
180,4,9.25172116366
60,3,9.80061213809
160,4,9.24244064913
240,2,10.4504849694
200,3,9.71738632822
100,3,9.59999879971
280,2,10.4624244348
180,3,9.69639758436
140,2,10.3559008251
120,2,10.3420704049
260,4,9.26695050712
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
60,4,9.17105293816
260,4,9.26695050712
100,4,9.07513565173
220,4,9.26443490015
160,4,9.24244064913
80,4,9.18228561326
240,4,9.25313997672
220,4,9.26443490015
100,4,9.07513565173
100,4,9.07513565173
280,2,10.4624244348
80,4,9.18228561326
140,3,9.59770310927
100,4,9.07513565173
200,4,9.27095808981
180,2,10.4317642943
60,4,9.17105293816
160,3,9.6764913167
240,4,9.25313997672
100,4,9.07513565173
120,3,9.60584544448
260,2,10.4593087001
280,4,9.24353650977
220,3,9.72971641612
100,2,10.3211870722
200,4,9.27095808981
140,4,9.13549483115
180,3,9.69639758436
80,2,10.4848335895
100,4,9.07513565173
120,4,9.12184250555
100,4,9.07513565173
60,3,9.80061213809
160,2,10.4284472615
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
280,3,9.71739436031
200,4,9.27095808981
100,2,10.3211870722
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
140,4,9.13549483115
220,4,9.26443490015
180,4,9.25172116366
80,4,9.18228561326
100,4,9.07513565173
60,4,9.17105293816
100,4,9.07513565173
120,4,9.12184250555
160,4,9.24244064913
240,3,9.73227625289
260,4,9.26695050712
100,2,10.3211870722
280,4,9.24353650977
220,4,9.26443490015
140,3,9.59770310927
200,2,10.4527735776
100,4,9.07513565173
100,4,9.07513565173
180,4,9.25172116366
80,4,9.18228561326
60,3,9.80061213809
120,4,9.12184250555
160,2,10.4284472615
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
100,3,9.59999879971
280,4,9.24353650977
100,2,10.3211870722
220,4,9.26443490015
200,4,9.27095808981
140,4,9.13549483115
180,3,9.69639758436
100,4,9.07513565173
80,2,10.4848335895
60,4,9.17105293816
160,4,9.24244064913
120,4,9.12184250555
100,3,9.59999879971
240,2,10.4504849694
100,4,9.07513565173
260,4,9.26695050712
280,4,9.24353650977
220,3,9.72971641612
100,4,9.07513565173
200,2,10.4527735776
140,4,9.13549483115
100,4,9.07513565173
80,4,9.18228561326
180,4,9.25172116366
60,3,9.80061213809
100,4,9.07513565173
120,2,10.3420704049
160,4,9.24244064913
240,4,9.25313997672
260,4,9.26695050712
100,4,9.07513565173
280,3,9.71739436031
100,2,10.3211870722
220,4,9.26443490015
200,4,9.27095808981
140,4,9.13549483115
100,3,9.59999879971
180,4,9.25172116366
80,2,10.4848335895
100,4,9.07513565173
160,4,9.24244064913
60,4,9.17105293816
120,3,9.60584544448
240,4,9.25313997672
260,2,10.4593087001
100,4,9.07513565173
100,4,9.07513565173
280,4,9.24353650977
200,3,9.71738632822
140,4,9.13549483115
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
220,4,9.26443490015
80,4,9.18228561326
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
60,4,9.17105293816
180,4,9.25172116366
160,4,9.24244064913
120,2,10.3420704049
240,4,9.25313997672
100,4,9.07513565173
280,4,9.24353650977
100,4,9.07513565173
220,3,9.72971641612
260,4,9.26695050712
200,2,10.4527735776
140,4,9.13549483115
100,4,9.07513565173
100,4,9.07513565173
180,3,9.69639758436
60,4,9.17105293816
80,4,9.18228561326
100,2,10.3211870722
120,4,9.12184250555
240,4,9.25313997672
160,4,9.24244064913
100,3,9.59999879971
260,4,9.26695050712
280,2,10.4624244348
100,4,9.07513565173
220,4,9.26443490015
140,4,9.13549483115
200,4,9.27095808981
100,3,9.59999879971
180,4,9.25172116366
80,2,10.4848335895
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
60,4,9.17105293816
120,3,9.60584544448
160,2,10.4284472615
260,4,9.26695050712
240,4,9.25313997672
100,4,9.07513565173
280,4,9.24353650977
100,4,9.07513565173
200,4,9.27095808981
220,3,9.72971641612
140,2,10.3559008251
180,4,9.25172116366
100,4,9.07513565173
100,4,9.07513565173
80,4,9.18228561326
100,4,9.07513565173
60,3,9.80061213809
120,4,9.12184250555
160,2,10.4284472615
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
100,3,9.59999879971
200,4,9.27095808981
280,4,9.24353650977
140,2,10.3559008251
220,4,9.26443490015
100,4,9.07513565173
100,4,9.07513565173
80,4,9.18228561326
180,3,9.69639758436
120,4,9.12184250555
100,4,9.07513565173
60,2,10.5576627848
100,4,9.07513565173
160,4,9.24244064913
240,4,9.25313997672
260,3,9.72546955926
100,2,10.3211870722
200,4,9.27095808981
280,4,9.24353650977
220,4,9.26443490015
100,4,9.07513565173
100,4,9.07513565173
140,4,9.13549483115
80,3,9.75391702765
180,2,10.4317642943
60,4,9.17105293816
100,4,9.07513565173
120,4,9.12184250555
160,4,9.24244064913
240,3,9.73227625289
100,4,9.07513565173
100,4,9.07513565173
260,2,10.4593087001
280,4,9.24353650977
100,4,9.07513565173
200,4,9.27095808981
220,4,9.26443490015
180,3,9.69639758436
140,2,10.3559008251
100,4,9.07513565173
80,4,9.18228561326
100,4,9.07513565173
60,4,9.17105293816
120,3,9.60584544448
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
160,4,9.24244064913
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
280,4,9.24353650977
100,4,9.07513565173
200,4,9.27095808981
100,4,9.07513565173
100,4,9.07513565173
140,4,9.13549483115
80,4,9.18228561326
220,2,10.4640130267
180,4,9.25172116366
100,4,9.07513565173
60,4,9.17105293816
120,4,9.12184250555
160,3,9.6764913167
100,4,9.07513565173
240,4,9.25313997672
100,4,9.07513565173
260,2,10.4593087001
100,4,9.07513565173
280,4,9.24353650977
200,3,9.71738632822
220,4,9.26443490015
100,4,9.07513565173
100,4,9.07513565173
180,2,10.4317642943
140,4,9.13549483115
80,4,9.18228561326
100,4,9.07513565173
60,4,9.17105293816
120,3,9.60584544448
100,4,9.07513565173
160,4,9.24244064913
100,2,10.3211870722
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
280,4,9.24353650977
100,4,9.07513565173
220,3,9.72971641612
200,4,9.27095808981
140,2,10.3559008251
100,4,9.07513565173
100,4,9.07513565173
180,4,9.25172116366
80,4,9.18228561326
60,3,9.80061213809
100,4,9.07513565173
100,4,9.07513565173
120,4,9.12184250555
160,2,10.4284472615
100,4,9.07513565173
240,4,9.25313997672
260,4,9.26695050712
100,4,9.07513565173
280,3,9.71739436031
200,4,9.27095808981
220,4,9.26443490015
100,2,10.3211870722
140,4,9.13549483115
100,4,9.07513565173
180,4,9.25172116366
100,4,9.07513565173
80,4,9.18228561326
60,3,9.80061213809
100,4,9.07513565173
120,4,9.12184250555
160,2,10.4284472615
240,4,9.25313997672
100,4,9.07513565173
260,4,9.26695050712
100,3,9.59999879971
280,4,9.24353650977
200,4,9.27095808981
100,2,10.3211870722
220,4,9.26443490015
140,4,9.13549483115
180,4,9.25172116366
100,4,9.07513565173
100,4,9.07513565173
80,3,9.75391702765
60,2,10.5576627848
160,4,9.24244064913
100,4,9.07513565173
120,4,9.12184250555
100,4,9.07513565173
240,4,9.25313997672
100,3,9.59999879971
260,4,9.26695050712
200,4,9.27095808981
280,2,10.4624244348
100,4,9.07513565173
100,4,9.07513565173
180,4,9.25172116366
220,4,9.26443490015
140,3,9.59770310927
100,4,9.07513565173
100,4,9.07513565173
80,2,10.4848335895
60,4,9.17105293816
100,4,9.07513565173
160,4,9.24244064913
120,4,9.12184250555
100,4,9.07513565173
240,3,9.73227625289
260,4,9.26695050712
280,4,9.24353650977
100,2,10.3211870722
200,4,9.27095808981
220,4,9.26443490015
100,4,9.07513565173
140,3,9.59770310927
180,4,9.25172116366
80,4,9.18228561326
100,4,9.07513565173
100,2,10.3211870722
60,4,9.17105293816
100,4,9.07513565173
120,4,9.12184250555
160,4,9.24244064913
100,3,9.59999879971
100,4,9.07513565173
240,4,9.25313997672
260,2,10.4593087001
280,4,9.24353650977
200,4,9.27095808981
100,4,9.07513565173
220,4,9.26443490015
140,3,9.59770310927
100,4,9.07513565173
180,4,9.25172116366
60,2,10.5576627848
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
80,4,9.18228561326
100,4,9.07513565173
100,4,9.07513565173
120,4,9.12184250555
240,4,9.25313997672
160,4,9.24244064913
280,4,9.24353650977
100,4,9.07513565173
260,4,9.26695050712
100,4,9.07513565173
200,4,9.27095808981
100,4,9.07513565173
140,4,9.13549483115
220,4,9.26443490015
100,4,9.07513565173
80,4,9.18228561326
180,3,9.69639758436
100,4,9.07513565173
120,2,10.3420704049
60,4,9.17105293816
100,4,9.07513565173
160,4,9.24244064913
100,4,9.07513565173
260,4,9.26695050712
100,3,9.59999879971
240,4,9.25313997672
280,4,9.24353650977
200,2,10.4527735776
100,4,9.07513565173
140,4,9.13549483115
220,4,9.26443490015
100,4,9.07513565173
100,4,9.07513565173
180,4,9.25172116366
80,3,9.75391702765
120,4,9.12184250555
100,4,9.07513565173
60,2,10.5576627848
100,4,9.07513565173
100,4,9.07513565173
160,4,9.24244064913
100,4,9.07513565173
240,3,9.73227625289
260,4,9.26695050712
280,4,9.24353650977
200,2,10.4527735776
100,4,9.07513565173
220,4,9.26443490015
140,4,9.13549483115
100,4,9.07513565173
100,4,9.07513565173
100,4,9.07513565173
180,3,9.69639758436
80,4,9.18228561326
100,4,9.07513565173
60,2,10.5576627848
160,4,9.24244064913
120,4,9.12184250555
