n_estimators,max_depth,rmse
240,3,5.38019536806
140,4,5.26058466569
200,2,5.9216333625
240,4,5.21372697846
60,3,5.43185479965
180,4,5.19423962734
240,3,5.38019536806
200,3,5.36013148494
120,3,5.40091464671
60,3,5.43185479965
100,3,5.40359157504
240,2,5.93530146568
140,3,5.38803389388
140,2,5.93601038405
220,2,5.92215606493
280,3,5.41005195128
100,2,5.94881829971
120,3,5.40091464671
220,3,5.3636927691
240,2,5.93530146568
180,4,5.19423962734
180,4,5.19423962734
180,4,5.19423962734
180,4,5.19423962734
80,4,5.24739682317
260,4,5.22828537308
160,4,5.21941803355
180,4,5.19423962734
180,4,5.19423962734
180,4,5.19423962734
260,4,5.22828537308
80,4,5.24739682317
160,4,5.21941803355
280,4,5.23419822598
180,4,5.19423962734
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,2,5.9216333625
200,4,5.19035137102
200,4,5.19035137102
60,2,5.93850841457
200,4,5.19035137102
120,4,5.29202025454
200,3,5.36013148494
140,2,5.93601038405
100,4,5.2884227419
220,3,5.3636927691
60,2,5.93850841457
280,4,5.23419822598
240,3,5.38019536806
200,4,5.19035137102
80,2,5.92134611131
120,4,5.29202025454
260,3,5.40214322945
160,4,5.21941803355
140,4,5.26058466569
100,2,5.94881829971
220,3,5.3636927691
200,4,5.19035137102
240,4,5.21372697846
60,4,5.28820042675
280,3,5.41005195128
200,2,5.9216333625
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
260,4,5.22828537308
80,4,5.24739682317
160,4,5.21941803355
200,4,5.19035137102
120,4,5.29202025454
140,4,5.26058466569
100,4,5.2884227419
200,4,5.19035137102
220,4,5.19651970544
200,4,5.19035137102
240,4,5.21372697846
200,2,5.9216333625
280,3,5.41005195128
60,4,5.28820042675
200,4,5.19035137102
80,4,5.24739682317
260,2,5.95908729136
160,3,5.36457351425
120,4,5.29202025454
200,4,5.19035137102
140,4,5.26058466569
100,4,5.2884227419
220,2,5.92215606493
200,3,5.36013148494
180,4,5.19423962734
200,4,5.19035137102
240,4,5.21372697846
280,2,5.96945709035
60,3,5.43185479965
80,4,5.24739682317
200,4,5.19035137102
260,4,5.22828537308
160,4,5.21941803355
200,2,5.9216333625
120,3,5.40091464671
140,4,5.26058466569
100,4,5.2884227419
200,4,5.19035137102
220,4,5.19651970544
180,2,5.91035664243
240,3,5.38019536806
200,4,5.19035137102
200,4,5.19035137102
280,4,5.23419822598
60,4,5.28820042675
260,2,5.95908729136
80,3,5.38594548221
160,4,5.21941803355
200,4,5.19035137102
120,4,5.29202025454
140,4,5.26058466569
100,2,5.94881829971
220,3,5.3636927691
200,4,5.19035137102
180,4,5.19423962734
200,4,5.19035137102
240,4,5.21372697846
280,4,5.23419822598
200,2,5.9216333625
60,3,5.43185479965
80,4,5.24739682317
200,4,5.19035137102
260,4,5.22828537308
160,4,5.21941803355
200,2,5.9216333625
120,3,5.40091464671
140,4,5.26058466569
100,4,5.2884227419
220,4,5.19651970544
180,2,5.91035664243
200,4,5.19035137102
200,4,5.19035137102
240,3,5.38019536806
280,4,5.23419822598
60,4,5.28820042675
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
200,4,5.19035137102
80,4,5.24739682317
260,4,5.22828537308
160,4,5.21941803355
120,4,5.29202025454
140,4,5.26058466569
220,4,5.19651970544
200,4,5.19035137102
100,2,5.94881829971
200,4,5.19035137102
180,3,5.34889074623
200,4,5.19035137102
240,4,5.21372697846
280,4,5.23419822598
80,2,5.92134611131
60,4,5.28820042675
200,3,5.36013148494
260,4,5.22828537308
200,4,5.19035137102
160,4,5.21941803355
120,4,5.29202025454
200,4,5.19035137102
200,2,5.9216333625
140,3,5.38803389388
220,4,5.19651970544
240,4,5.21372697846
100,4,5.2884227419
200,4,5.19035137102
180,2,5.91035664243
280,3,5.41005195128
60,4,5.28820042675
200,4,5.19035137102
200,4,5.19035137102
80,4,5.24739682317
260,4,5.22828537308
160,2,5.91110694336
200,4,5.19035137102
120,4,5.29202025454
140,3,5.38803389388
220,4,5.19651970544
100,4,5.2884227419
200,4,5.19035137102
180,4,5.19423962734
200,2,5.9216333625
240,3,5.38019536806
280,4,5.23419822598
200,4,5.19035137102
200,4,5.19035137102
60,4,5.28820042675
260,2,5.95908729136
160,3,5.36457351425
80,4,5.24739682317
200,4,5.19035137102
120,4,5.29202025454
140,4,5.26058466569
200,4,5.19035137102
100,4,5.2884227419
240,2,5.93530146568
220,3,5.3636927691
180,4,5.19423962734
200,4,5.19035137102
200,4,5.19035137102
280,4,5.23419822598
200,4,5.19035137102
80,2,5.92134611131
60,3,5.43185479965
260,4,5.22828537308
200,4,5.19035137102
